gene_id	gene
BSU36850	atpF
BSU07840	yfkN
BSU16730	spoVFA
BSU16740	spoVFB
BSU36830	atpA
BSU36800	atpC
BSU36820	atpG
BSU36860	atpE
BSU33310	fhuB
BSU36870	atpB
BSU36880	atpI
BSU30820	menD
BSU31060	gbsA
BSU39260	bglH
BSU06310	gabP
BSU07490	yfmF
BSU19350	yocS
BSU39610	yxeB
BSU38040	sacA
BSU39380	hutG
BSU07830	nfsB
BSU38110	nfrAA
BSU02090	ybxI
BSU03860	nfrAB
BSU03040	amyE
BSU18800	penP
BSU38560	licH
BSU06240	bdhA
BSU40110	bglA
BSU30200	bioB
BSU24070	buk
BSU03900	gabT
BSU39860	aldX
BSU38830	aldY
BSU19310	dhaS
BSU32830	fadA
BSU15720	defA
BSU15730	fmt
BSU16670	ribC
BSU27200	yrhG
BSU06170	ydjE
BSU05860	gmuE
BSU08850	ssuC
BSU14400	fruA
BSU24170	mmgA
BSU24340	accC
BSU29200	accA
BSU22440	birA
BSU24350	accB
BSU29210	accD
BSU13910	ptsI
BSU13900	ptsH
BSU08840	ssuA
BSU27070	levD
BSU27040	levG
BSU08830	ssuB
BSU27050	levF
BSU27060	levE
BSU07700	nagP
BSU15650	yloB
BSU39050	katE
BSU13110	purU
BSU08820	katA
BSU38630	katX
BSU11210	argB
BSU11200	argJ
BSU07920	yfkE
BSU33040	fumC
BSU33170	yvrB
BSU33180	yvrC
BSU04470	dctP
BSU36010	alsS
BSU33160	yvrA
BSU03930	gdh
BSU15510	pyrAA
BSU28300	ilvH
BSU28310	ilvB
BSU11230	carA
BSU15520	pyrAB
BSU29470	ackA
BSU11240	carB
BSU36000	alsD
BSU33490	copB
BSU24150	mmgC
BSU13850	zosA
BSU26650	czcD
BSU18260	yngJ
BSU16920	pgsA
BSU04520	ydbM
BSU02270	pssA
BSU37170	acdA
BSU00460	ispE
BSU32820	fadE
BSU15350	thiQ
BSU18000	citB
BSU11220	argD
BSU04620	acpS
BSU19230	rtbJ
BSU00500	gcaD
BSU38580	licC
BSU05830	gmuC
BSU29680	acsA
BSU05820	gmuA
BSU29710	acuC
BSU34550	mdxM
BSU38590	licB
BSU29700	acuB
BSU05810	gmuB
BSU38390	ywbA
BSU08070	acoB
BSU29690	acuA
BSU08710	gsaB
BSU38570	licA
BSU08090	acoL
BSU30240	bioW
BSU33710	opuBC
BSU08060	acoA
BSU28120	hemL
BSU33700	opuBD
BSU08080	acoC
BSU33730	opuBA
BSU35740	tagD
BSU33720	opuBB
BSU31050	gbsB
BSU30440	ytrC
BSU27910	yszB
BSU30430	ytrD
BSU30450	ytrB
BSU22830	gpsA
BSU22690	aroH
BSU30410	ytrF
BSU29750	aroX
BSU30420	ytrE
BSU09300	glpD
BSU22710	aroF
BSU07610	citM
BSU13130	proA
BSU39060	citH
BSU02360	nagBB
BSU00140	dck
BSU26860	yraO
BSU00760	pabC
BSU35020	nagBA
BSU38770	cimH
BSU00740	pabB
BSU00750	pabA
BSU37240	ywiE
BSU23850	zwf
BSU37190	clsB
BSU36590	clsA
BSU14520	adeC
BSU09840	hemZ
BSU25500	hemN
BSU01370	adk
BSU31350	pgi
BSU36130	ywrA
BSU36120	ywrB
BSU09440	citA
BSU29010	speD
BSU29140	citZ
BSU38710	yxlA
BSU02510	garD
BSU02480	gudP
BSU37150	pyrG
BSU14900	ctaD
BSU38200	galK
BSU14190	dapL
BSU14910	ctaE
BSU14920	ctaF
BSU30300	melA
BSU14890	ctaC
BSU38190	galT
BSU22540	qcrC
BSU35670	gtaB
BSU22560	qcrA
BSU23610	nudF
BSU22550	qcrB
BSU27250	mccB
BSU11880	metC
BSU27610	apt
BSU12360	exuT
BSU27260	mccA
BSU38750	cydB
BSU15600	cysC
BSU30710	ythA
BSU02350	gamP
BSU30720	ythB
BSU33940	gapA
BSU06440	purB
BSU38760	cydA
BSU38160	qoxB
BSU29020	gapB
BSU38140	qoxD
BSU38170	qoxA
BSU38150	qoxC
BSU06510	purN
BSU25300	cdd
BSU02230	purT
BSU27330	udk
BSU30980	glgB
BSU39020	nupG
BSU39410	nupC
BSU01780	glmS
BSU40420	purA
BSU32180	yutK
BSU18410	ggt
BSU22890	cmk
BSU36900	glyA
BSU35010	nagA
BSU20250	mtbP
BSU37490	speB
BSU40070	gntP
BSU03950	ycnJ
BSU19520	yojA
BSU30940	glgP
BSU02490	gudD
BSU09540	plsC
BSU11190	argC
BSU27270	mtnN
BSU33500	copA
BSU08790	thiC
BSU00730	cysK
BSU30950	glgA
BSU02460	ycbC
BSU13890	ptsG
BSU06520	purH
BSU12920	dppA
BSU06420	purE
BSU06430	purK
BSU10520	glcP
BSU30960	glgD
BSU25310	dgkA
BSU30970	glgC
BSU11670	thiO
BSU17460	glnA
BSU14610	pdhD
BSU23380	lysA
BSU19370	odhA
BSU19360	odhB
BSU32170	dapF
BSU27460	glnP
BSU27430	glnQ
BSU23260	ribAB
BSU03610	tcyA
BSU18540	yoaB
BSU30210	bioD
BSU27450	glnM
BSU25580	comEB
BSU03600	tcyB
BSU27440	glnH
BSU07570	yflS
BSU22090	kdgT
BSU09410	phoA
BSU03590	tcyC
BSU22110	kdgK
BSU15680	gmk
BSU12330	yjmD
BSU05740	phoB
BSU00150	dgk
BSU04560	ddl
BSU13120	proB
BSU21870	ilvD
BSU18470	proJ
BSU32000	dhbA
BSU31930	ald
BSU31980	dhbE
BSU22960	gudB
BSU22490	dapB
BSU04640	alrA
BSU16770	dapA
BSU31400	yugH
BSU21810	dfrA
BSU28080	folC
BSU02420	glnT
BSU38490	menA
BSU18120	alsT
BSU00780	folB
BSU15540	pyrD
BSU27810	yrbD
BSU15530	pyrK
BSU09530	yhdN
BSU15500	pyrC
BSU00770	folP
BSU39780	iolS
BSU23080	aroC
BSU22700	aroB
BSU26970	adhB
BSU12940	dppC
BSU27010	adhA
BSU12950	dppD
BSU32410	pucH
BSU12960	dppE
BSU12930	dppB
BSU12390	uxaA
BSU22130	kduI
BSU22140	kduD
BSU01530	cwlD
BSU13620	mtnD
BSU13590	mtnW
BSU25900	cwlA
BSU24280	ispA
BSU25160	ispH
BSU35620	lytC
BSU29060	coaE
BSU25710	cwlH
BSU15110	panE
BSU17410	cwlC
BSU35920	rbsK
BSU30230	bioK
BSU37790	rocG
BSU35940	rbsA
BSU22750	menH
BSU35960	rbsB
BSU22670	trpD
BSU35950	rbsC
BSU22680	trpE
BSU35930	rbsD
BSU14830	glsB
BSU39420	deoC
BSU02430	glsA
BSU00280	tmk
BSU06490	purF
BSU25790	arsB
BSU30220	bioF
BSU37060	tdk
BSU14180	dapH
BSU26810	yrpC
BSU39400	pdp
BSU17660	yncF
BSU28390	racE
BSU18450	gltA
BSU23280	ribD
BSU15570	cysH
BSU20020	yosS
BSU14000	dapX
BSU18440	gltB
BSU16550	dxr
BSU28170	hemA
BSU24270	dxs
BSU33400	yvgN
BSU18220	yngF
BSU29050	ytbE
BSU00920	gltX
BSU02340	gltP
BSU28540	fadB
BSU28800	araA
BSU22100	kdgA
BSU39270	bglP
BSU10220	gltT
BSU33900	eno
BSU39450	yxeR
BSU09130	tcyP
BSU28740	araP
BSU28750	araN
BSU14390	fruK
BSU28730	araQ
BSU04340	ydaP
BSU18250	yngI
BSU02140	glpT
BSU33960	araE
BSU10270	lcfB
BSU14630	speA
BSU28560	lcfA
BSU17000	kbl
BSU10360	yhfT
BSU40040	glxK
BSU40320	argI
BSU37120	fbaA
BSU34190	yvfH
BSU39670	iolJ
BSU03060	lctP
BSU29440	argH
BSU29450	argG
BSU40190	fbp
BSU23960	artR
BSU28680	glcD
BSU10130	hemH
BSU09280	glpF
BSU23970	artQ
BSU23980	artP
BSU12160	yjgC
BSU33330	lysP
BSU40330	rocE
BSU09290	glpK
BSU32130	guaC
BSU36710	fdhD
BSU18570	yoaE
BSU06360	guaA
BSU40060	gntK
BSU02130	glpQA
BSU37760	rocC
BSU27220	yrhE
BSU08860	ssuD
BSU33800	opuCD
BSU21900	bsaA
BSU22780	folEA
BSU01620	feuB
BSU27600	rsh
BSU13170	guaD
BSU33830	opuCA
BSU01610	feuC
BSU01630	feuA
BSU38280	efeU
BSU03000	opuAC
BSU02990	opuAB
BSU33820	opuCB
BSU00680	hprT
BSU06370	pbuG
BSU38260	efeN
BSU33810	opuCC
BSU38270	efeM
BSU02980	opuAA
BSU29990	pbuO
BSU08450	yfiZ
BSU12300	uxaC
BSU32840	fadN
BSU30070	opuD
BSU08460	yfhA
BSU08440	yfiY
BSU05340	ydfA
BSU24160	mmgB
BSU14870	ctaA
BSU33320	fhuD
BSU14880	ctaB
BSU36030	ywrK
BSU03800	yclN
BSU16750	asd
BSU23580	ansA
BSU07500	yfmE
BSU39920	asnH
BSU12080	ctaO
BSU38300	thiM
BSU33290	fhuC
BSU24850	glcK
BSU10790	asnO
BSU03810	yclO
BSU22740	hepT
BSU07510	yfmD
BSU22760	hepS
BSU33510	copZ
BSU30540	asnB
BSU03820	yclP
BSU22410	panD
BSU03830	yclQ
BSU07520	yfmC
BSU07990	yfjR
BSU33300	fhuG
BSU39350	hutH
BSU15490	pyrB
BSU03790	yclM
BSU31610	mrpB
BSU28470	lysC
BSU16760	dapG
BSU34910	hisD
BSU31650	mrpF
BSU29620	hisJ
BSU31322	yugO
BSU39390	hutM
BSU27870	nadB
BSU28510	xsa
BSU02400	ybgF
BSU28720	abfA
BSU37710	bacD
BSU13600	mtnX
BSU28150	hemC
BSU23570	ansB
BSU22370	aspB
BSU34130	ganA
BSU34920	hisG
BSU36810	atpD
BSU17150	pksG
BSU06980	rhgP
BSU18230	yngG
BSU36840	atpH
BSU06970	yesO
BSU38020	pdxK
BSU06990	rhgQ
BSU11710	thiD
BSU03050	ldh
BSU38500	dltA
BSU13960	ykwC
BSU38530	dltD
BSU37780	rocA
BSU38510	dltB
BSU38520	dltC
BSU19690	kamA
BSU00790	folK
BSU00270	yaaO
BSU32260	hom
BG12900	BG12900
BSU32240	thrB
BSU21910	metA
BSU22600	aroA
BSU02290	psd
BSU10870	yisU
BSU10020	serC
BSU22620	hisC
BSU34890	hisH
BSU03990	mtlD
BSU08180	malA
BSU35780	lytD
BSU04740	rsbX
BSU34560	mdxL
BSU40850	maa
BSU13730	queD
BSU29130	icd
BSU31990	dhbC
BSU34140	ganQ
BSU15020	coaD
BSU34610	mdxE
BSU30830	menF
BSU31970	dhbB
BSU34150	ganP
BSU23490	pupG
BSU30280	amyD
BSU19630	deoD
BSU03070	mdr
BSU34870	hisF
BSU34900	hisB
BSU34590	mdxG
BSU29180	pyk
BSU34600	mdxF
BSU22660	trpC
BSU34160	cycB
BSU24080	bcd
BSU30290	amyC
BSU00110	pdxS
BSU38550	ilvK
BSU30270	msmE
BSU02390	ilvE
BSU08200	malP
BSU29600	braB
BSU00120	pdxT
BSU23560	mleN
BSU31580	maeN
BSU35790	yvyI
BSU39980	qodI
BSU26700	azlD
BSU12020	manA
BSU26690	brnQ
BSU26710	azlC
BSU27850	nadA
BSU12010	manP
BSU00090	guaB
BSU24130	mmgE
BSU39700	iolG
BSU29300	rbfK
BSU24140	mmgD
BSU23270	ribE
BSU00180	tadA
BSU39720	iolE
BSU23250	ribH
BSU29120	mdh
BSU28790	araB
BSU39750	iolB
BSU13610	mtnB
BSU39730	iolD
BSU28780	araD
BSU04000	ycsA
BSU39740	iolC
BSU29220	ytsJ
BSU06230	iolT
BSU39710	iolF
BSU31180	rhaA
BSU25070	ispG
BSU31200	rhaB
BSU22870	fni
BSU00910	ispF
BSU16530	uppS
BSU17370	nrdI
BSU00900	ispD
BSU17390	nrdF
BSU28270	leuB
BSU30550	metK
BSU28260	leuC
BSU17380	nrdE
BSU29380	tcyJ
BSU28250	leuD
BSU29350	tcyM
BSU28280	leuA
BSU39370	hutI
BSU15790	rpe
BSU29360	tcyL
BSU36920	ywlF
BSU28290	ilvC
BSU29340	tcyN
BSU15590	sat
BSU04030	ycsD
BSU32730	metQ
BSU29370	tcyK
BSU36370	fabZ
BSU06150	gutB
BSU32740	metP
BSU06160	gutP
BSU11720	fabI
BSU32750	metN
BSU13180	metE
BSU21680	msrB
BSU15910	fabG
BSU19710	yodQ
BSU21690	msrA
BSU00930	cysE
BSU00380	metS
BSU23770	dsdA
BSU10170	fabHB
BSU22480	mgsA
BSU08650	fabL
BSU08000	yfjQ
BSU15860	sdaAA
BSU13300	mgtE
BSU15850	sdaAB
BSU11330	fabHA
BSU15900	fabD
BSU24740	yqxL
BSU15630	sirC
BSU15620	sirB
BSU11340	fabF
BSU14670	suhB
BSU24120	mmgF
BSU13500	ktrD
BSU25660	aroD
BSU39760	mmsA
BSU31100	ktrB
BSU03981	mtlA
BSU03150	aroK
BSU12340	uxuA
BSU11870	metI
BSU31090	ktrA
BSU30760	mntB
BSU14510	ktrC
BSU30770	mntA
BSU26640	yrdP
BSU34660	yvdB
BSU30740	mntD
BSU15580	cysP
BSU31620	mrpC
BSU31600	mrpA
BSU30750	mntC
BSU31660	mrpG
BSU01580	ybaR
BSU04360	mntH
BSU31630	mrpD
BSU33390	yvgM
BSU25020	sodA
BSU33370	yvgK
BSU26600	bltD
BSU33380	yvgL
BSU22430	panB
BSU26590	blt
BSU34570	mdxK
BSU24310	folD
BSU37500	speE
BSU11010	samT
BSU03910	gabD
BSU13550	mtnA
BSU30790	menE
BSU30780	menC
BSU13560	mtnK
BSU28430	sdhB
BSU32100	yumB
BSU28440	sdhA
BSU28450	sdhC
BSU12290	ndh
BSU16090	sucC
BSU32200	yutJ
BSU16100	sucD
BSU11610	ppnKA
BSU03130	nadE
BSU38050	sacP
BSU02750	natA
BSU01680	ybbF
BSU02760	natB
BSU09850	yhaU
BSU31640	mrpE
BSU33430	cysI
BSU09680	nhaC
BSU33440	cysJ
BSU12380	uxaB
BSU33420	nhaK
BSU37110	ywjH
BSU11640	yjbQ
BSU31750	pncB
BSU35710	tagG
BSU35760	tagB
BSU22730	ndk
BSU35720	tagF
BSU36510	amtB
BSU35700	tagH
BSU25640	nadD
BSU31760	pncA
BSU27860	nadC
BSU35530	tagO
BSU38060	ywcJ
BSU35750	tagA
BSU35730	tagE
BSU37320	narK
BSU35690	ggaA
BSU03330	nasA
BSU35680	ggaB
BSU30800	menB
BSU35590	tuaC
BSU03320	nasB
BSU35600	tuaB
BSU03310	nasC
BSU37280	narG
BSU35570	tuaE
BSU37260	narJ
BSU35550	tuaG
BSU37270	narH
BSU35540	tuaH
BSU03290	nasE
BSU35609	tuaA
BSU03300	nasD
BSU16990	tdh
BSU11250	argF
BSU38990	atoA
BSU21770	ilvA
BSU38980	atoB
BSU32250	thrC
BSU24030	bkdB
BSU17890	tkt
BSU21820	thyB
BSU24060	lpdV
BSU24050	bkdAA
BSU17680	thyA
BSU24040	bkdAB
BSU15550	pyrF
BSU11650	tenA
BSU40340	rocD
BSU15560	pyrE
BSU05900	thiL
BSU33240	oxdC
BSU18670	yoaN
BSU38290	thiE
BSU33920	tpiA
BSU23800	proI
BSU18480	proH
BSU12910	proG
BSU03270	ycgT
BSU22420	panC
BSU15190	mraY
BSU34790	trxB
BSU24090	ptb
BSU32110	yumC
BSU37660	pta
BSU07810	treA
BSU07800	treP
BSU22640	trpB
BSU14860	pycA
BSU22630	trpA
BSU14590	pdhB
BSU14580	pdhA
BSU10010	trpP
BSU14600	pdhC
BSU15180	murE
BSU35660	mnaA
BSU39540	yxeI
BSU38860	galE
BSU29190	pfkA
BSU30870	ytcB
BSU01770	glmM
BSU37100	murAB
BSU23070	serA
BSU23860	gndA
BSU36760	murAA
BSU33930	pgk
BSU09240	glpW
BSU15220	murG
BSU15200	murD
BSU33910	pgm
BSU16540	cdsA
BSU29790	murC
BSU19800	phy
BSU15230	murB
BSU31150	uppP
BSU24960	pstBA
BSU35580	tuaD
BSU04570	murF
BSU24990	pstS
BSU21920	ugtP
BSU24950	pstBB
BSU24970	pstA
BSU13580	mtnE
BSU24980	pstC
BSU15610	sumT
BSU12840	pit
BSU03280	nasF
BSU28140	hemD
BSU25420	yqeW
BSU10120	hemE
BSU36890	upp
BSU09310	pgcA
BSU03010	amhX
BSU23760	coaA
BSU36470	pucI
BSU38240	ywcA
BSU15480	pyrP
BSU40550	ppaC
BSU39360	hutU
BSU36650	ureB
BSU28130	hemB
BSU36660	ureA
BSU15700	coaBC
BSU36640	ureC
BSU30560	pckA
BSU23920	yqjD
BSU18210	yngE
BSU32460	pucM
BSU32450	pucL
BSU23500	drm
BSU22610	tyrA
BSU27900	pheA
BSU16510	pyrH
BSU10140	hemY
BSU18830	pps
BSU32510	pucA
BSU06530	purD
BSU32480	pucD
BSU32470	pucE
BSU22650	trpF
BSU32490	pucC
BSU06500	purM
BSU32500	pucB
BSU34860	hisI
BSU06450	purC
BSU22060	pbuX
BSU06470	purQ
BSU22070	xpt
BSU06480	purL
BSU06460	purS
BSU32440	pucK
BSU17600	xylA
BSU32430	pucJ
BSU17610	xylB
BSU34880	hisA
BSU03200	putB
BSU02850	znuA
BSU06660	opuE
BSU02870	znuB
BSU02860	znuC
BSU30530	ytnA
BSU19580	yodF
BSU03220	putP
BSU00510	prs
